ポストURL,いいね数,RT数,インプ数,投稿者名,投稿テキスト,投稿日時,画像,収集日時
https://x.com/momo_fukuen/status/2032285737941639636,180,0,14769,もも｜回避型彼氏と復縁,復縁が叶う子のガチな共通点って『きっかけは自分が作って、復縁は彼から』だよね。ただ待ってるだけじゃなくて戦略的にきっかけを作って復縁の流れにうまく乗ってる。しかも最終的な復縁の決断は彼にさせてるから『彼の覚悟が決まる→復縁した後も高確率で溺愛される』。私が復縁した回避型の彼も、,3月13日,,3月21日
https://x.com/momo_fukuen/status/2032388527535890446,43,0,3808,もも｜回避型彼氏と復縁,回避型って、普通の男性より「元カノ」に安心感と特別感をもってるよね。復縁して確信したけど、彼らってときめきより『居心地のよさ』を求めてる。新しい刺激に走っても、結局最後は心落ち着く場所に戻ってくる。そもそも「元カノ」って時点で見た目はすでに刺さってるし、戻りたくなって当然なのよ,3月13日,,3月21日
https://x.com/momo_fukuen/status/2032093754534854976,21,0,1085,もも｜回避型彼氏と復縁,振られたのになぜか彼と繋がってる気がしたんだよね。もう無理かもって泣く日もあったけど「彼も本当は同じ気持ちでしょ？」って思う瞬間が何度もあった。復縁後に彼に話したら「ちょっとわかる」って。あの直感は間違ってなかった。自分の直感って馬鹿にできないし、なんなら一番信用できるまである,3月12日,,3月21日
https://x.com/momo_fukuen/status/2031935487922085927,97,2,15483,もも｜回避型彼氏と復縁,回避型との復縁、実は『LINEの送り方を少し変えるだけで復縁率が爆上がり』するんだよね。回避型って返信のハードルが高いと動けなくなる。「なんて返したらいいのかわからない」ってなった瞬間に放置。時間が経つと「いま返すのもおかしいよね」でそのままフェードアウト。でもこれ見方を変えると、,3月12日,,3月21日
https://x.com/momo_fukuen/status/2032060791059628440,20,0,2784,もも｜回避型彼氏と復縁,「一途でしつこい人(私)じゃないと続かないし復縁も無理」って。回避型が相手なら『重さ』が逆に復縁の可能性を高めてくれる。放置は絶対NGな理由もそれ。普通の男性は放置すれば追いかけてくるけど、回避型は「俺と一緒にいない方がいい」って勝手に身を引く。「俺には幸せにできない」って気持ちは、,3月12日,,3月21日
https://x.com/momo_fukuen/status/2031663078706970725,85,1,5465,もも｜回避型彼氏と復縁,回避型は別れを経験して本当の愛に目覚めるタイプが多いって聞いて納得したよね私の彼もまんまそのタイプだったから。本命から一度離れることで自分の悪い癖と向き合わされた回避型は、戻った時には以前より何倍も深く愛してくれる。だから別れは、回避型の心を開くために必要なプロセスなんだよね。,3月11日,,3月21日
https://x.com/momo_fukuen/status/2031561383842820550,164,6,15996,もも｜回避型彼氏と復縁,回避型って『本命』にしか回避モードにならないんだよね。好きじゃない相手には考えなくていいから即レス。そっけない態度も未読無視も『気持ちがある証拠』なの。私が復縁した彼も「本気で好きだと嫌われるのとか期待に応えられないのが怖くなる」って教えてくれた。でも好きな気持ちは残ってるから、,3月11日,,3月21日
https://x.com/momo_fukuen/status/2031699531826602337,63,1,9891,もも｜回避型彼氏と復縁,元彼が回避型なら、復縁のカギは『会わずに距離を縮めること』一択。これできたら復縁はほぼ確定。「会えない＝復縁できない」って不安になる人が多いけど、回避型の場合それは完全に誤解で、むしろ会わない方が復縁率は上がるんだよね。回避型は「会ったら重い話されるかも」って警戒するから、,3月11日,,3月21日
https://x.com/momo_fukuen/status/2031339109848121569,83,2,11279,もも｜回避型彼氏と復縁,回避型って『元カノへの執着心』がかなり強いんだよね。根底に「見捨てられ不安」があるから、自分から突き放しても元カノの行動や気持ちが気になるの。ずっと沈黙してたのにいきなりストーリー見たり未読のLINEにいきなり既読をつけたりするのも元カノへのアピールだったりする。そんな回避型の心を、,3月10日,,3月21日
https://x.com/momo_fukuen/status/2031373508887064714,64,0,3113,もも｜回避型彼氏と復縁,深夜の本音。私の投稿にいいねして保存してる人は確実に復縁成功率あがると思う。私も当時、復縁や回避型の発信してる人の投稿を通知オンにしてすぐ保存して毎日見てたおかげで、自然と復縁できるマインドに整ったから。これからも経験談や役立つことを発信していくのでインプットに使ってくださいね,3月10日,,3月21日
https://x.com/momo_fukuen/status/2031302306604659194,95,2,6086,もも｜回避型彼氏と復縁,復縁目指してると忘れがちだけど、一度付き合えたってことは彼の「どタイプ」なのは間違いないからね男性は見た目がタイプじゃない子とは絶対付き合わない。脈なしの片思いより、すでに合格点クリアしてる復縁の方が圧倒的に有利。見た目は刺さってるから、あとは戦略的に行動するだけだよ。,3月10日,,3月21日
https://x.com/momo_fukuen/status/2031203642355908683,222,6,32201,もも｜回避型彼氏と復縁,男は『本気で好きだった元カノ』には自分から戻れない。そっけない態度をとった方が男は追いかけてくるっていうけど、実際は「元カノにグイグイな男」の9割は下心だよ。本当に大切に思ってたら、自分から振ったのにグイグイいけるわけない。だから別れてから元彼が冷たくて距離を置かれてる人ほど、,3月10日,,3月21日
https://x.com/8_ludr7/status/2031007392150982686,21,2,2414,シン｜回避型元彼の心理,正直に言うと男って「どうでもいい相手」には回避なんてしない。気まずさも罪悪感も湧かないから普通に返せる。本命だけが怖いし重いし逃げたくなる。僕も元カノに返したいのに返せない時期があって、それは「また傷つけるかもしれない」って不安のせいだった。距離がある＝気持ちが残ってる証拠です。,3月9日,,3月21日
https://x.com/momo_fukuen/status/2030981486577623338,172,5,24133,もも｜回避型彼氏と復縁,復縁経験者として言えるのは『男の回避モードで別れたら復縁率はかなり高い』ってこと。男はそもそも『本命女性』にしか回避行動しない。それに冷めたら終わりの女性と違って男は何度でも惚れ直す生き物。復縁した彼が言ってた「大切な人を傷つけた罪悪感で冷たくしたり既読無視してた」って言葉が、,3月9日,,3月21日
https://x.com/momo_fukuen/status/2031125373573017834,24,1,1827,もも｜回避型彼氏と復縁,回避型の彼を変えようと必死だった時期は全部裏目に出た。振られて吹っ切れて、自分がしたいことを優先したら復縁できた。今までの努力は何だったの？ってくらいうまくいってる。彼の顔色うかがうんじゃなくて、自分の気持ちに正直でいる。それが一番彼に響くみたい。連絡したいならしていいんだよ。,3月10日,,3月21日
https://x.com/momo_fukuen/status/2030926563676700968,20,0,1080,もも｜回避型彼氏と復縁,復縁を決めた男性って確実に愛情深まるよ。自分から離れたのによりを戻す選択をするって、どんなにドライな人でも運命感じちゃうから。それに男はかなりロマンチスト。『俺から振ったけど、やっぱり元カノが好き』ってシチュエーションにのめり込むんだよね。私はこの流れを意図的に狙って復縁した,3月9日,,3月21日
